"GENCOD";"CODCLA";"LIBCLA";"CODFAM";"LIBFAM";"CODTYPPDT";"LIBTYPPDT"
"9999991005129";"TER";"TERMINAUX STD";"SU";"Carte SIM UM";"SIM";"Carte SIM"
"9999991005198";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526356028286";"TER";"TERMINAUX STD";"SF";"Carte SIM Forfait";"SIM";"Carte SIM"
"3526356023687";"TER";"TERMINAUX STD";"SF";"Carte SIM Forfait";"SIM";"Carte SIM"
"3526356025216";"TER";"TERMINAUX STD";"SF";"Carte SIM Forfait";"SIM";"Carte SIM"
"3526356025223";"TER";"TERMINAUX STD";"SN";"Carte Bouygues Telecom";"SIM";"Carte SIM"
"3526356025230";"TER";"TERMINAUX STD";"SU";"Carte SIM UM";"SIM";"Carte SIM"
"3526356025247";"TER";"TERMINAUX STD";"SF";"Carte SIM Forfait";"SIM";"Carte SIM"
"3526356026848";"TER";"TERMINAUX STD";"SN";"Carte Bouygues Telecom";"SIM";"Carte SIM"
"3526356028019";"TER";"TERMINAUX STD";"SN";"Carte Bouygues Telecom";"SIM";"Carte SIM"
"3526356028026";"TER";"TERMINAUX STD";"SU";"Carte SIM UM";"SIM";"Carte SIM"
"3526356022123";"TER";"TERMINAUX STD";"SF";"Carte SIM Forfait";"SIM";"Carte SIM"
"3526356018881";"TER";"TERMINAUX STD";"SU";"Carte SIM UM";"SIM";"Carte SIM"
"3526356013848";"TER";"TERMINAUX STD";"SN";"Carte Bouygues Telecom";"SIM";"Carte SIM"
"3526353066458";"TERHD";"TERMINAUX HAUT DEBIT";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066472";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066496";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066519";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066533";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066557";"TEROC";"TX D'OCCASION";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066915";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066946";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353066984";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353067028";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353067042";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353067509";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353067998";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353064706";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353065864";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353065932";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353065956";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353062115";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353062863";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353062887";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353062986";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353063174";"TERIM";"TERMINAUX IMODE";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353063501";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
"3526353063549";"TER";"TERMINAUX STD";"PP";"Kit de pret";"KDP";"Kit de pret"
